Owner,Repo,Stars,Forks,Language,URL
tensorflow,.allstar,3,2,,https://github.com/tensorflow/.allstar
tensorflow,.github,3,0,,https://github.com/tensorflow/.github
tensorflow,adanet,3459,531,Jupyter Notebook,https://github.com/tensorflow/adanet
tensorflow,addons,1707,617,Python,https://github.com/tensorflow/addons
tensorflow,agents,2956,738,Python,https://github.com/tensorflow/agents
tensorflow,autograph,51,18,Python,https://github.com/tensorflow/autograph
tensorflow,benchmarks,1148,633,Python,https://github.com/tensorflow/benchmarks
tensorflow,build,298,135,Shell,https://github.com/tensorflow/build
tensorflow,cloud,381,91,Python,https://github.com/tensorflow/cloud
tensorflow,codelabs,40,25,Jupyter Notebook,https://github.com/tensorflow/codelabs
tensorflow,community,1281,579,C++,https://github.com/tensorflow/community
tensorflow,compression,899,259,Python,https://github.com/tensorflow/compression
tensorflow,custom-op,381,118,Smarty,https://github.com/tensorflow/custom-op
tensorflow,data-validation,773,182,Python,https://github.com/tensorflow/data-validation
tensorflow,datasets,4484,1585,Python,https://github.com/tensorflow/datasets
tensorflow,decision-forests,690,113,Python,https://github.com/tensorflow/decision-forests
tensorflow,deepmath,789,138,C++,https://github.com/tensorflow/deepmath
tensorflow,docs,6261,5365,Jupyter Notebook,https://github.com/tensorflow/docs
tensorflow,docs-l10n,756,635,Jupyter Notebook,https://github.com/tensorflow/docs-l10n
tensorflow,dtensor-gcp-examples,17,4,Python,https://github.com/tensorflow/dtensor-gcp-examples
tensorflow,ecosystem,1372,394,Scala,https://github.com/tensorflow/ecosystem
tensorflow,embedding-projector-standalone,305,191,HTML,https://github.com/tensorflow/embedding-projector-standalone
tensorflow,estimator,300,196,Python,https://github.com/tensorflow/estimator
tensorflow,examples,8187,7386,Jupyter Notebook,https://github.com/tensorflow/examples
tensorflow,fairness-indicators,353,88,Python,https://github.com/tensorflow/fairness-indicators
tensorflow,flutter-tflite,626,196,Dart,https://github.com/tensorflow/flutter-tflite
tensorflow,fold,1823,265,Python,https://github.com/tensorflow/fold
tensorflow,gan,961,248,Jupyter Notebook,https://github.com/tensorflow/gan
tensorflow,gnn,1490,196,Python,https://github.com/tensorflow/gnn
tensorflow,graphics,2782,370,Python,https://github.com/tensorflow/graphics
tensorflow,haskell,1600,200,Haskell,https://github.com/tensorflow/haskell
tensorflow,hub,3518,1653,Python,https://github.com/tensorflow/hub
tensorflow,io,731,307,C++,https://github.com/tensorflow/io
tensorflow,java,898,220,Java,https://github.com/tensorflow/java
tensorflow,java-models,91,44,Java,https://github.com/tensorflow/java-models
tensorflow,java-ndarray,80,18,Java,https://github.com/tensorflow/java-ndarray
tensorflow,kfac,198,42,Python,https://github.com/tensorflow/kfac
tensorflow,lattice,519,95,Python,https://github.com/tensorflow/lattice
tensorflow,lingvo,2851,452,Python,https://github.com/tensorflow/lingvo
tensorflow,lucid,4700,655,Jupyter Notebook,https://github.com/tensorflow/lucid
tensorflow,mesh,1615,257,Python,https://github.com/tensorflow/mesh
tensorflow,metadata,111,58,Python,https://github.com/tensorflow/metadata
tensorflow,minigo,3515,561,C++,https://github.com/tensorflow/minigo
tensorflow,mlir,1760,258,,https://github.com/tensorflow/mlir
tensorflow,mlir-hlo,421,73,MLIR,https://github.com/tensorflow/mlir-hlo
tensorflow,model-analysis,1267,283,Python,https://github.com/tensorflow/model-analysis
tensorflow,model-card-toolkit,437,91,Python,https://github.com/tensorflow/model-card-toolkit
tensorflow,model-optimization,1556,331,Python,https://github.com/tensorflow/model-optimization
tensorflow,model-remediation,42,20,Python,https://github.com/tensorflow/model-remediation
tensorflow,models,77646,45462,Python,https://github.com/tensorflow/models
tensorflow,moonlight,332,69,Python,https://github.com/tensorflow/moonlight
tensorflow,networking,99,37,C++,https://github.com/tensorflow/networking
tensorflow,neural-structured-learning,1007,188,Python,https://github.com/tensorflow/neural-structured-learning
tensorflow,ngraph-bridge,136,63,C++,https://github.com/tensorflow/ngraph-bridge
tensorflow,nmt,6440,1954,Python,https://github.com/tensorflow/nmt
tensorflow,oss-fuzz,5,2,,https://github.com/tensorflow/oss-fuzz
tensorflow,playground,12578,2654,TypeScript,https://github.com/tensorflow/playground
tensorflow,privacy,1985,466,Python,https://github.com/tensorflow/privacy
tensorflow,probability,4380,1115,Jupyter Notebook,https://github.com/tensorflow/probability
tensorflow,profiler-ui,137,33,HTML,https://github.com/tensorflow/profiler-ui
tensorflow,quantum,2016,623,Python,https://github.com/tensorflow/quantum
tensorflow,ranking,2780,481,Python,https://github.com/tensorflow/ranking
tensorflow,recommenders,1980,294,Python,https://github.com/tensorflow/recommenders
tensorflow,recommenders-addons,624,142,Cuda,https://github.com/tensorflow/recommenders-addons
tensorflow,runtime,760,124,C++,https://github.com/tensorflow/runtime
tensorflow,rust,5403,428,Rust,https://github.com/tensorflow/rust
tensorflow,serving,6328,2202,C++,https://github.com/tensorflow/serving
tensorflow,sig-tfjs,16,12,TypeScript,https://github.com/tensorflow/sig-tfjs
tensorflow,similarity,1023,107,Python,https://github.com/tensorflow/similarity
tensorflow,skflow,3171,439,Python,https://github.com/tensorflow/skflow
tensorflow,swift,6137,612,Jupyter Notebook,https://github.com/tensorflow/swift
tensorflow,swift-apis,793,138,Swift,https://github.com/tensorflow/swift-apis
tensorflow,swift-bindings,25,19,Swift,https://github.com/tensorflow/swift-bindings
tensorflow,swift-models,647,150,Jupyter Notebook,https://github.com/tensorflow/swift-models
tensorflow,tcav,646,153,Jupyter Notebook,https://github.com/tensorflow/tcav
tensorflow,tensor2tensor,16522,3666,Python,https://github.com/tensorflow/tensor2tensor
tensorflow,tensorboard,7005,1687,TypeScript,https://github.com/tensorflow/tensorboard
tensorflow,tensorboard-plugin-example,135,61,Python,https://github.com/tensorflow/tensorboard-plugin-example
tensorflow,tensorflow,191881,74895,C++,https://github.com/tensorflow/tensorflow
tensorflow,tensorrt,745,227,Jupyter Notebook,https://github.com/tensorflow/tensorrt
tensorflow,tensorstore,26,20,C++,https://github.com/tensorflow/tensorstore
tensorflow,text,1273,360,C++,https://github.com/tensorflow/text
tensorflow,tf-build-actions,6,1,C++,https://github.com/tensorflow/tf-build-actions
tensorflow,tfhub.dev,83,52,Python,https://github.com/tensorflow/tfhub.dev
tensorflow,tfjs,18972,1992,TypeScript,https://github.com/tensorflow/tfjs
tensorflow,tfjs-converter,706,144,TypeScript,https://github.com/tensorflow/tfjs-converter
tensorflow,tfjs-core,8459,945,TypeScript,https://github.com/tensorflow/tfjs-core
tensorflow,tfjs-data,66,34,TypeScript,https://github.com/tensorflow/tfjs-data
tensorflow,tfjs-examples,6749,2357,JavaScript,https://github.com/tensorflow/tfjs-examples
tensorflow,tfjs-layers,279,95,TypeScript,https://github.com/tensorflow/tfjs-layers
tensorflow,tfjs-models,14653,4396,TypeScript,https://github.com/tensorflow/tfjs-models
tensorflow,tfjs-node,1056,116,TypeScript,https://github.com/tensorflow/tfjs-node
tensorflow,tfjs-tsne,317,56,TypeScript,https://github.com/tensorflow/tfjs-tsne
tensorflow,tfjs-vis,368,91,TypeScript,https://github.com/tensorflow/tfjs-vis
tensorflow,tfjs-website,73,104,CSS,https://github.com/tensorflow/tfjs-website
tensorflow,tfjs-wechat,569,107,TypeScript,https://github.com/tensorflow/tfjs-wechat
tensorflow,tflite-micro,2505,941,C++,https://github.com/tensorflow/tflite-micro
tensorflow,tflite-micro-arduino-examples,256,104,C++,https://github.com/tensorflow/tflite-micro-arduino-examples
tensorflow,tflite-support,426,140,C++,https://github.com/tensorflow/tflite-support
tensorflow,tfrc,24,12,,https://github.com/tensorflow/tfrc
tensorflow,tfx,2165,724,Python,https://github.com/tensorflow/tfx
tensorflow,tfx-addons,128,63,Jupyter Notebook,https://github.com/tensorflow/tfx-addons
tensorflow,tfx-bsl,65,62,Python,https://github.com/tensorflow/tfx-bsl
tensorflow,toolchains,19,22,Starlark,https://github.com/tensorflow/toolchains
tensorflow,tpu,5256,1764,Jupyter Notebook,https://github.com/tensorflow/tpu
tensorflow,transform,988,222,Python,https://github.com/tensorflow/transform
tensorflow,workshops,1443,675,Jupyter Notebook,https://github.com/tensorflow/workshops
pytorch,accimage,319,38,C,https://github.com/pytorch/accimage
pytorch,add-annotations-github-action,14,12,JavaScript,https://github.com/pytorch/add-annotations-github-action
pytorch,alerting-infra,2,0,TypeScript,https://github.com/pytorch/alerting-infra
pytorch,android-demo-app,1547,625,Java,https://github.com/pytorch/android-demo-app
pytorch,ao,2384,341,Python,https://github.com/pytorch/ao
pytorch,audio,2746,728,Python,https://github.com/pytorch/audio
pytorch,benchmark,989,322,Python,https://github.com/pytorch/benchmark
pytorch,builder,354,230,Python,https://github.com/pytorch/builder
pytorch,caffe2.github.io,3,8,HTML,https://github.com/pytorch/caffe2.github.io
pytorch,ci-hud,13,24,JavaScript,https://github.com/pytorch/ci-hud
pytorch,ci-infra,14,4,HCL,https://github.com/pytorch/ci-infra
pytorch,contrib,392,44,Python,https://github.com/pytorch/contrib
pytorch,cppdocs,237,37,HTML,https://github.com/pytorch/cppdocs
pytorch,cpuinfo,1125,374,C,https://github.com/pytorch/cpuinfo
pytorch,docs,9,4,HTML,https://github.com/pytorch/docs
pytorch,dr-ci,2,8,Haskell,https://github.com/pytorch/dr-ci
pytorch,elastic,730,100,Python,https://github.com/pytorch/elastic
pytorch,ELF,3403,569,C++,https://github.com/pytorch/ELF
pytorch,examples,23436,9752,Python,https://github.com/pytorch/examples
pytorch,executorch,3274,675,Python,https://github.com/pytorch/executorch
pytorch,expecttest,83,9,Python,https://github.com/pytorch/expecttest
pytorch,extension-cpp,1149,243,Python,https://github.com/pytorch/extension-cpp
pytorch,extension-ffi,256,70,Python,https://github.com/pytorch/extension-ffi
pytorch,extension-script,114,23,Python,https://github.com/pytorch/extension-script
pytorch,FBGEMM,1446,654,C++,https://github.com/pytorch/FBGEMM
pytorch,functorch,1437,105,Jupyter Notebook,https://github.com/pytorch/functorch
pytorch,gloo,1357,340,C++,https://github.com/pytorch/gloo
pytorch,glow,3314,699,C++,https://github.com/pytorch/glow
